"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"2","D1","1","Prog_LED","LED_THT:LED_D3.0mm_FlatTop",""
"3","GN1","1","OpenKNX_BCU","OpenKNX:NanoBCU_Soldered",""
"4","J1","1","Conn_Reed","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",""
"5","J2","1","Conn_SHT3x","Connector_PinSocket_1.27mm:PinSocket_1x04_P1.27mm_Vertical",""
"6","J4","1","Conn_KNX","OpenKNX:KNX_Connector",""
"7","R1, R2, R3, R4, R5","5","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"8","SW1","1","Prod_Button","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm",""
"9","U1","1","24LC256","24LC256_E_SN-2:SOIC127P599X175-8N",""
"10","U3","1","Seeed Studio XIAO SAMD21","Seeeduino XIAO KICAD 2:Seeeduino XIAO-MOUDLE14P-2.54-21X17.8MM",""
